"launch_date","agency_type","mission","dodge"
1967-06-29,"state","Secor Type II S/N 10",0.780753106810153
1967-08-23,"state","DAPP 3419",0.711880315560848
1967-10-11,"state","DAPP 4417",0.556949579855427
1968-05-23,"state","DAPP 5420",0.741336633916944
1968-10-23,"state","DAPP 6422",0.417789644096047
1969-07-23,"state","DAPP 7421",0.344056937145069
1970-02-11,"state","DAPP Block 5A F-1",0.904860249022022
1970-09-03,"state","DAPP Block 5A F-2",0.481247683987021
1971-02-17,"state","DAPP Block 5A F-3",0.504614821402356
1971-06-08,"state","P70-1",0.114830820821226
1971-10-14,"state","DMSP Block 5B F-1 (SV-2)",0.304519488243386
1972-03-24,"state","DMSP Block 5B F-2 (SV-1)",0.230245807208121
1972-11-09,"state","DMSP Block 5B F-3",0.643287684535608
1973-08-17,"state","DMSP Block 5B F-4",0.529412923846394
1974-03-16,"state","DMSP Block 5B F-5",0.89086258970201
1974-08-09,"state","DMSP Block 5C F-1",0.979206970427185
1975-05-24,"state","DMSP Block 5C F-2",0.302784239640459
1976-02-19,"state","DMSP Block 5C F-3",0.723024177830666
1976-09-11,"state","DMSP Block 5D S-1",0.209096062229946
1977-06-05,"state","DMSP Block 5D S-2",0.986772661330178
1978-05-01,"state","DMSP Block 5D S-3",0.611291121225804
1979-06-06,"state","DMSP Block 5D S-5",0.791845778003335
1998-05-17,"state","Iridium SV070",0.90794321661815
1998-06-10,"state","Thor 3",0.617422895971686
1998-09-08,"state","Iridium SV082",0.766134615754709
1998-10-24,"state","Deep Space 1",0.18542720307596
1998-11-06,"state","Iridium SV087",0.172119629569352
1998-11-22,"state","BONUM-1",0.435623114695773
1998-12-11,"state","MCO",0.111491522286087
1999-01-03,"state","MPL",0.228820605203509
1999-02-07,"state","Stardust",0.0153587246313691
1999-02-23,"state","P91-1",0.284241958288476
1999-04-15,"state","Landsat 7",0.248818251537159
1999-05-05,"state","Orion 3",0.935837620636448
1999-06-10,"state","Globalstar M025",0.870627969503403
1999-06-24,"state","Far UV Spec. Explorer",0.158186030341312
1999-07-10,"state","Globalstar M035",0.361982507398352
1999-07-25,"state","Globalstar M048",0.427759102312848
1999-08-17,"state","Globalstar M024",0.229745719814673
1999-10-07,"state","Navstar GPS SVN 46",0.861631801119074
2000-02-08,"state","Globalstar 63",0.466923453146592
1998-08-27,"state","Galaxy X",0.776646777521819
1999-04-09,"state","DSP 19?",0.44139246805571
1999-04-30,"state","Milstar DFS-3",0.736163071589544
1998-05-13,"state","NOAA K",0.904675589175895
1998-08-12,"state","MERCURY 3",0.824049982940778
1958-02-01,"state","Explorer 1",0.941965458681807
1958-03-26,"state","Explorer 3",0.38541076797992
1958-07-26,"state","Explorer 4",0.315654840553179
1958-03-05,"state","Explorer 2",0.586956770857796
1958-08-24,"state","Explorer 5",0.735171985579655
1958-10-23,"state","Beacon",0.312451118137687
1984-11-10,"private","Spacenet F2",0.626554418820888
1984-05-23,"private","Spacenet F1",0.531784268794581
1984-08-04,"private","ECS 2",0.451801838818938
1985-02-08,"private","Arabsat 1A",0.236998097039759
1985-05-08,"private","Gstar 1A",0.64889541012235
1985-07-02,"private","Giotto",0.808350976323709
1986-02-22,"private","SPOT",0.686220309697092
1986-03-28,"private","Gstar 2",0.322437635622919
1987-09-16,"private","Aussat K3",0.630791744217277
1987-11-21,"private","TV-SAT",0.952119761845097
1988-12-11,"private","Skynet 4B",0.414436442079023
1988-03-11,"private","Spacenet 3R",0.0284714836161584
1988-05-17,"private","INTELSAT VA F13",0.926184765296057
1988-06-15,"private","Meteosat P2",0.938697276404127
1988-07-21,"private","Insat 1C",0.378727422794327
1988-09-08,"private","Gstar 3",0.821763893822208
1988-10-28,"private","TDF 1",0.765364148421213
1989-01-27,"private","INTELSAT VA F15",0.852945829275995
1989-03-06,"private","JCSAT 1",0.81905488204211
1989-04-02,"private","Tele-X",0.34430422866717
1989-06-05,"private","Superbird A",0.615975259803236
1989-07-12,"private","Olympus",0.813241665251553
1989-08-08,"private","TV-SAT 2",0.699483781354502
1989-10-27,"private","INTELSAT VI F-2",0.875435740454122
1990-11-20,"private","Satcom C1",0.394158451352268
1990-01-22,"private","SPOT 2",0.717031102161855
1990-07-24,"private","TDF 2",0.566578589845449
1990-08-30,"private","Skynet 4C",0.122710726456717
1990-10-12,"private","SBS 6",0.0422958321869373
1991-01-15,"private","Italsat 1",0.361214591190219
1991-03-02,"private","Astra 1B",0.621163776377216
1991-04-04,"private","Anik E2",0.944202929036692
1991-07-17,"private","ERS-1",0.0424152386840433
1991-08-14,"private","INTELSAT VI F-5",0.513181265443563
1991-09-26,"private","Anik E1",0.531169985886663
1991-10-29,"private","INTELSAT VI F-1",0.661217471584678
1991-12-16,"private","Telecom 2A",0.24683992145583
1992-02-26,"private","Superbird B1",0.030699132476002
1992-04-15,"private","Telecom 2B",0.295003452571109
1992-07-09,"private","Insat 2A",0.458688932936639
1992-08-10,"private","Topex-Poseidon",0.27349726180546
1992-09-10,"private","Hispasat 1A",0.994902165373787
1992-10-28,"private","Galaxy VII",0.0319851408712566
1992-12-01,"private","Superbird A1",0.418924556812271
1993-05-12,"private","Astra 1C",0.693542494671419
1993-06-25,"private","Galaxy IVH",0.371543820714578
1993-07-22,"private","Hispasat 1B",0.595435293857008
1993-09-26,"private","SPOT 3",0.428324068896472
1993-10-22,"private","INTELSAT 701",0.135824960656464
1993-11-20,"private","Solidaridad 1",0.828622685279697
1993-12-18,"private","DBS 1",0.223846924491227
1994-06-17,"private","INTELSAT 702",0.192047510994598
1994-07-08,"private","Panamsat K1",0.330358520848677
1994-08-10,"private","Brasilsat B1",0.872630800586194
1994-09-09,"private","Telstar 402",0.514929896686226
1994-10-08,"private","Solidaridad 2",0.975371838081628
1994-11-01,"private","Astra 1D",0.732793494360521
1995-03-28,"private","Brasilsat B2",0.443316279910505
1995-04-21,"private","ERS-2",0.713916117325425
1995-05-17,"private","INTELSAT 706",0.174906575819477
1995-06-10,"private","DBS 3",0.174057982629165
1995-07-07,"private","Helios 1A",0.239722406724468
1995-08-03,"private","Panamsat K3",0.850129033904523
1995-08-29,"private","N-STAR a",0.0229900260455906
1995-09-24,"private","Telstar 402R",0.162552131805569
1995-10-19,"private","Astra 1E",0.0408656233921647
1995-11-17,"private","ISO",0.314661893062294
1995-12-06,"private","Telecom 2C",0.16495476081036
1996-01-12,"private","Panamsat K4",0.352701575728133
1996-02-05,"private","N-Star b",0.12952998583205
1996-03-14,"private","INTELSAT 707",0.621503928676248
1996-04-20,"private","MSAT-1",0.336693402146921
1996-05-16,"private","Palapa C2",0.252291506854817
1996-06-15,"private","INTELSAT 709",0.365136566804722
1996-07-09,"private","Arabsat 2A",0.476658302126452
1996-08-08,"private","Italsat F2",0.801687107654288
1996-09-11,"private","Echostar II",0.215814138529822
1996-11-13,"private","Arabsat 2B",0.584018483990803
1997-01-30,"private","GE 2",0.803831009659916
1997-03-01,"private","INTELSAT 801",0.143389460630715
1997-04-16,"private","Thaicom 3",0.390264192828909
1997-06-03,"private","INMARSAT III F4",0.514848365914077
1997-06-25,"private","INTELSAT 802",0.487495142966509
1997-08-08,"private","PAS 6",0.615765648894012
1997-09-02,"private","Eutelsat HB3",0.173229615436867
1997-09-23,"private","INTELSAT 803",0.524372243555263
1997-11-12,"private","Sirius 2",0.00369555735960603
1997-12-02,"private","JCSAT 5",0.518311011837795
1997-12-22,"private","INTELSAT 804",0.950165988178924
1998-02-04,"private","Brasilsat B3",0.563772153109312
1998-02-27,"private","Eutelsat HB4",0.940283637493849
1998-03-24,"private","SPOT-4",0.284358526347205
1998-04-28,"private","Nilesat 101",0.363275625277311
1998-08-25,"private","Singapore-Taiwan 1",0.85391759336926
1998-09-16,"private","PAS 7",0.382718366803601
1998-10-05,"private","Eutelsat W2",0.765262632630765
1998-10-21,"private","Maqsat-3",0.900818109512329
1998-10-28,"private","Afristar",0.36318454076536
